Year,Student Name,School,Class,Subject,Prelim Result,PSLE Result
2023,Aqil Zulkarnain 611,Maris Stella Primary School,P6-3,Malay Language,59/100,59/100
2022,Imran Bin Azmi 689,Princess Elizabeth Primary School,P6-2,Higher Malay Language,51/100,48/100
2024,Arunasarawasthy 830,Maris Stella Primary School,P6-3,Higher Tamil Language,95/100,92/100
2023,Anand S/O Murugan 498,Pei Chun Public School,P6-3,Foundation Tamil Language,85/100,87/100
2023,Priya D/O Kumar 955,Nanyang Primary School,P6-3,Foundation Tamil Language,94/100,91/100
2023,Ng Zi Xuan 253,Nanyang Primary School,P6-2,Chinese Language,50/100,48/100
2024,Teo Wen Jie 641,Pei Hwa Presbyterian Primary School,P6-1,Higher Chinese Language,77/100,82/100
2024,Priya D/O Kumar 886,Gongshang Primary School,P6-3,Higher Tamil Language,91/100,94/100
2022,Ong Shu Fen 987,West Grove Primary School,P6-1,Foundation Chinese Language,50/100,50/100
2023,Ong Shu Fen 970,Yumin Primary School,P6-2,Foundation Chinese Language,50/100,49/100
2023,Deepa D/O Muthu 403,Tao Nan School,P6-3,Foundation Tamil Language,87/100,92/100
2022,Ng Zi Xuan 331,Maris Stella Primary School,P6-2,Foundation Chinese Language,93/100,96/100
2023,Muhd Irfan 109,Temasek Primary School,P6-2,Foundation Malay Language,71/100,71/100
2023,Deepa D/O Muthu 372,Pei Hwa Presbyterian Primary School,P6-3,Tamil Language,52/100,51/100
2023,Lakshmi D/O Kumar 720,Temasek Primary School,P6-3,Higher Tamil Language,68/100,68/100
2023,Arunasarawasthy 215,Raffles Girls' Primary School,P6-3,Tamil Language,69/100,74/100
2024,Suresh S/O Raj 158,Yumin Primary School,P6-2,Higher Tamil Language,71/100,70/100
2022,Teo Wen Jie 822,CHIJ St Nicholas Girls’ School,P6-1,Chinese Language,59/100,59/100
2023,Muhd Irfan 517,Nan Hua Primary School,P6-1,Foundation Malay Language,67/100,70/100
2024,Anand S/O Murugan 955,Temasek Primary School,P6-2,Higher Tamil Language,66/100,66/100
2024,Arunasarawasthy 554,Maris Stella Primary School,P6-1,Higher Tamil Language,86/100,90/100
2024,Deepa D/O Muthu 782,Rosyth School,P6-3,Foundation Tamil Language,83/100,78/100
2023,Nurul Huda 234,Red Swastika School,P6-1,Foundation Malay Language,74/100,77/100
2023,Tan Wei Ling 163,Pei Chun Public School,P6-1,Foundation Chinese Language,60/100,60/100
2022,Karthik S/O Ramesh 597,Raffles Girls' Primary School,P6-3,Higher Tamil Language,53/100,55/100
2022,Vignesh S/O Rajan 389,Catholic High School (Primary),P6-3,Higher Tamil Language,95/100,93/100
2024,Lim Jia Hao 286,Maris Stella Primary School,P6-2,Higher Chinese Language,75/100,79/100
2023,Meena D/O Ravi 114,Catholic High School (Primary),P6-1,Tamil Language,61/100,64/100
2024,Priya D/O Kumar 336,Yumin Primary School,P6-2,Tamil Language,79/100,83/100
2024,Ng Zi Xuan 904,Yumin Primary School,P6-2,Higher Chinese Language,81/100,86/100
2022,Meena D/O Ravi 279,Nan Hua Primary School,P6-3,Tamil Language,61/100,63/100
2023,Mohammad Firdaus 779,Catholic High School (Primary),P6-3,Higher Malay Language,73/100,77/100
2022,Ong Shu Fen 162,Nanyang Primary School,P6-2,Chinese Language,77/100,77/100
2022,Deepa D/O Muthu 898,Tao Nan School,P6-1,Tamil Language,88/100,88/100
2024,Sivakumar Raj 274,Rosyth School,P6-3,Tamil Language,59/100,60/100
2023,Suresh S/O Raj 800,Pei Chun Public School,P6-2,Foundation Tamil Language,60/100,59/100
2022,Lim Jia Hao 835,Pei Chun Public School,P6-2,Foundation Chinese Language,85/100,90/100
2022,Deepa D/O Muthu 648,Temasek Primary School,P6-2,Foundation Tamil Language,86/100,88/100
2024,Ahmad Hakim 723,West Grove Primary School,P6-3,Higher Malay Language,65/100,66/100
2024,Tan Wei Ling 745,Yumin Primary School,P6-3,Foundation Chinese Language,77/100,81/100
2023,Priya D/O Kumar 860,Nan Hua Primary School,P6-3,Tamil Language,71/100,71/100
2022,Meena D/O Ravi 795,Tao Nan School,P6-1,Tamil Language,80/100,79/100
2022,Mohammad Firdaus 743,Tao Nan School,P6-2,Foundation Malay Language,80/100,77/100
2023,Priya D/O Kumar 364,West Grove Primary School,P6-3,Higher Tamil Language,93/100,89/100
2022,Goh Jun Wei 149,Nanyang Primary School,P6-2,Higher Chinese Language,83/100,88/100
2024,Suresh S/O Raj 839,Nan Hua Primary School,P6-1,Tamil Language,74/100,69/100
2023,Teo Wen Jie 522,Gongshang Primary School,P6-1,Foundation Chinese Language,85/100,82/100
2023,Ng Zi Xuan 759,St Joseph’s Institution Junior,P6-1,Chinese Language,92/100,88/100
2023,Ng Zi Xuan 369,Raffles Girls' Primary School,P6-2,Higher Chinese Language,90/100,92/100
2024,Vignesh S/O Rajan 903,Princess Elizabeth Primary School,P6-1,Higher Tamil Language,84/100,81/100
2023,Lim Jia Hao 408,Red Swastika School,P6-3,Chinese Language,86/100,86/100
2022,Nurul Huda 590,St Joseph’s Institution Junior,P6-3,Foundation Malay Language,83/100,88/100
2023,Priya D/O Kumar 507,Ai Tong School,P6-1,Higher Tamil Language,51/100,51/100
2023,Nurul Huda 929,Tao Nan School,P6-3,Malay Language,53/100,51/100
2022,Goh Jun Wei 562,Maris Stella Primary School,P6-3,Chinese Language,74/100,71/100
2024,Nurul Huda 681,Ai Tong School,P6-3,Malay Language,58/100,56/100
2024,Deepa D/O Muthu 681,West Grove Primary School,P6-3,Tamil Language,91/100,94/100
2024,Imran Bin Azmi 803,CHIJ St Nicholas Girls’ School,P6-3,Foundation Malay Language,88/100,84/100
2022,Nurul Huda 795,Ai Tong School,P6-1,Foundation Malay Language,70/100,65/100
2024,Deepa D/O Muthu 620,Red Swastika School,P6-1,Tamil Language,89/100,94/100
2023,Imran Bin Azmi 635,Temasek Primary School,P6-1,Malay Language,64/100,68/100
2022,Nur Aisyah 730,Ai Tong School,P6-1,Higher Malay Language,74/100,75/100
2022,Aqil Zulkarnain 325,St Joseph’s Institution Junior,P6-1,Foundation Malay Language,87/100,90/100
2022,Aqil Zulkarnain 181,Ai Tong School,P6-3,Foundation Malay Language,88/100,87/100
2022,Siti Aminah 545,Tao Nan School,P6-1,Foundation Malay Language,86/100,81/100
2023,Imran Bin Azmi 645,Princess Elizabeth Primary School,P6-3,Malay Language,67/100,63/100
2022,Arunasarawasthy 575,St Joseph’s Institution Junior,P6-2,Higher Tamil Language,51/100,52/100
2024,Ong Shu Fen 693,CHIJ St Nicholas Girls’ School,P6-2,Chinese Language,95/100,94/100
2023,Meena D/O Ravi 176,Anglo-Chinese School (Primary),P6-1,Higher Tamil Language,64/100,67/100
2023,Hafiz Bin Rahman 266,St Joseph’s Institution Junior,P6-2,Higher Malay Language,67/100,71/100
2022,Ong Shu Fen 486,Catholic High School (Primary),P6-1,Chinese Language,77/100,73/100
2024,Nur Aisyah 231,West Grove Primary School,P6-3,Foundation Malay Language,62/100,61/100
2023,Arunasarawasthy 474,Henry Park Primary School,P6-2,Higher Tamil Language,74/100,76/100
2022,Tan Wei Ling 304,Yumin Primary School,P6-2,Chinese Language,66/100,70/100
2024,Muhd Irfan 514,Ai Tong School,P6-3,Malay Language,87/100,82/100
2022,Lakshmi D/O Kumar 232,Gongshang Primary School,P6-2,Tamil Language,84/100,82/100
2023,Muhd Irfan 858,Anglo-Chinese School (Primary),P6-1,Foundation Malay Language,81/100,81/100
2023,Karthik S/O Ramesh 811,Catholic High School (Primary),P6-1,Tamil Language,50/100,52/100
2022,Ong Shu Fen 640,Catholic High School (Primary),P6-1,Higher Chinese Language,66/100,64/100
2022,Arunasarawasthy 637,St Joseph’s Institution Junior,P6-2,Foundation Tamil Language,52/100,55/100
2022,Tan Wei Ling 471,Pei Hwa Presbyterian Primary School,P6-3,Foundation Chinese Language,54/100,54/100
2024,Wong Yu Ting 469,Nan Hua Primary School,P6-3,Foundation Chinese Language,86/100,86/100
2024,Mohammad Firdaus 793,Pei Chun Public School,P6-3,Higher Malay Language,73/100,72/100
2023,Vignesh S/O Rajan 606,Tao Nan School,P6-2,Higher Tamil Language,95/100,93/100
2022,Ong Shu Fen 341,Nanyang Primary School,P6-3,Foundation Chinese Language,91/100,89/100
2023,Ainul Zafira 144,Anglo-Chinese School (Primary),P6-3,Malay Language,91/100,89/100
2024,Deepa D/O Muthu 625,Red Swastika School,P6-3,Foundation Tamil Language,82/100,80/100
2022,Lim Jia Hao 583,Henry Park Primary School,P6-3,Chinese Language,72/100,77/100
2023,Tan Wei Ling 104,Red Swastika School,P6-2,Foundation Chinese Language,62/100,58/100
2023,Priya D/O Kumar 463,Ai Tong School,P6-3,Higher Tamil Language,94/100,94/100
2023,Mohammad Firdaus 549,Rosyth School,P6-3,Malay Language,74/100,70/100
2024,Ahmad Hakim 611,Catholic High School (Primary),P6-3,Higher Malay Language,81/100,76/100
2022,Muhd Irfan 164,West Grove Primary School,P6-3,Foundation Malay Language,73/100,78/100
2024,Ong Shu Fen 508,Raffles Girls' Primary School,P6-2,Chinese Language,57/100,54/100
2024,Chua Kai Wen 533,Anglo-Chinese School (Primary),P6-3,Higher Chinese Language,69/100,69/100
2023,Suresh S/O Raj 598,Henry Park Primary School,P6-2,Foundation Tamil Language,78/100,82/100
2023,Mohammad Firdaus 850,Princess Elizabeth Primary School,P6-1,Higher Malay Language,76/100,71/100
2022,Hafiz Bin Rahman 293,Princess Elizabeth Primary School,P6-3,Higher Malay Language,67/100,71/100
2024,Wong Yu Ting 119,West Grove Primary School,P6-2,Chinese Language,63/100,61/100
2024,Vignesh S/O Rajan 263,Pei Chun Public School,P6-3,Higher Tamil Language,92/100,94/100
2023,Aqil Zulkarnain 416,West Grove Primary School,P6-1,Foundation Malay Language,82/100,81/100
2022,Siti Aminah 192,Princess Elizabeth Primary School,P6-1,Malay Language,73/100,71/100
2023,Priya D/O Kumar 567,Pei Chun Public School,P6-3,Tamil Language,76/100,74/100
2022,Muhd Irfan 758,Red Swastika School,P6-3,Foundation Malay Language,87/100,85/100
2024,Anand S/O Murugan 915,Nan Hua Primary School,P6-1,Higher Tamil Language,60/100,64/100
2024,Karthik S/O Ramesh 379,Maris Stella Primary School,P6-2,Foundation Tamil Language,88/100,91/100
2023,Hafiz Bin Rahman 123,Nanyang Primary School,P6-1,Malay Language,76/100,79/100
2022,Aqil Zulkarnain 316,West Grove Primary School,P6-3,Higher Malay Language,58/100,56/100
2023,Tan Wei Ling 862,Raffles Girls' Primary School,P6-1,Higher Chinese Language,66/100,69/100
2024,Lakshmi D/O Kumar 993,Red Swastika School,P6-3,Higher Tamil Language,94/100,98/100
2023,Mohammad Firdaus 631,Rosyth School,P6-1,Foundation Malay Language,58/100,59/100
2022,Priya D/O Kumar 579,Catholic High School (Primary),P6-2,Higher Tamil Language,91/100,95/100
2022,Anand S/O Murugan 784,Maris Stella Primary School,P6-2,Tamil Language,95/100,97/100
2023,Nur Aisyah 456,Catholic High School (Primary),P6-3,Malay Language,83/100,83/100
2024,Lee Hui Min 709,Rosyth School,P6-1,Higher Chinese Language,91/100,91/100
2023,Lim Jia Hao 137,Princess Elizabeth Primary School,P6-2,Higher Chinese Language,72/100,72/100
2022,Chua Kai Wen 726,Rosyth School,P6-2,Chinese Language,75/100,78/100
2022,Ahmad Hakim 646,Maris Stella Primary School,P6-3,Higher Malay Language,63/100,62/100
2024,Ainul Zafira 641,West Grove Primary School,P6-1,Higher Malay Language,53/100,48/100
2023,Muhd Irfan 250,Temasek Primary School,P6-1,Higher Malay Language,93/100,89/100
2024,Meena D/O Ravi 135,Anglo-Chinese School (Primary),P6-2,Tamil Language,90/100,85/100
2024,Ainul Zafira 982,Henry Park Primary School,P6-3,Foundation Malay Language,52/100,54/100
2024,Siti Aminah 476,Pei Hwa Presbyterian Primary School,P6-3,Foundation Malay Language,79/100,82/100
2023,Anand S/O Murugan 933,Ai Tong School,P6-3,Foundation Tamil Language,54/100,53/100
2022,Chua Kai Wen 189,Yumin Primary School,P6-2,Foundation Chinese Language,77/100,77/100
2024,Teo Wen Jie 703,Princess Elizabeth Primary School,P6-2,Higher Chinese Language,52/100,54/100
2023,Tan Wei Ling 597,Rosyth School,P6-3,Higher Chinese Language,90/100,95/100
2024,Ahmad Hakim 125,West Grove Primary School,P6-3,Malay Language,69/100,65/100
2024,Lakshmi D/O Kumar 256,Ai Tong School,P6-3,Foundation Tamil Language,88/100,91/100
2022,Tan Wei Ling 547,Tao Nan School,P6-2,Foundation Chinese Language,50/100,47/100
2022,Siti Aminah 253,West Grove Primary School,P6-3,Malay Language,72/100,74/100
2024,Suresh S/O Raj 228,Nan Hua Primary School,P6-3,Tamil Language,66/100,61/100
2024,Lakshmi D/O Kumar 333,Raffles Girls' Primary School,P6-3,Foundation Tamil Language,53/100,49/100
2024,Imran Bin Azmi 402,Maris Stella Primary School,P6-1,Higher Malay Language,92/100,87/100
2023,Hafiz Bin Rahman 400,Nanyang Primary School,P6-3,Malay Language,78/100,78/100
2024,Vignesh S/O Rajan 912,Rosyth School,P6-2,Foundation Tamil Language,83/100,83/100
2023,Ahmad Hakim 487,Ai Tong School,P6-3,Malay Language,61/100,60/100
2022,Muhd Irfan 980,Tao Nan School,P6-3,Higher Malay Language,73/100,71/100
2024,Wong Yu Ting 649,Henry Park Primary School,P6-3,Chinese Language,52/100,56/100
2024,Lee Hui Min 701,Nan Hua Primary School,P6-1,Higher Chinese Language,66/100,62/100
2022,Wong Yu Ting 953,Nanyang Primary School,P6-1,Higher Chinese Language,70/100,69/100
2022,Lakshmi D/O Kumar 687,Ai Tong School,P6-1,Tamil Language,65/100,60/100
2023,Ahmad Hakim 496,Tao Nan School,P6-3,Higher Malay Language,77/100,81/100
2024,Chen Qi En 178,Tao Nan School,P6-1,Chinese Language,80/100,81/100
2022,Deepa D/O Muthu 303,Pei Chun Public School,P6-2,Tamil Language,89/100,84/100
2024,Siti Aminah 598,St Joseph’s Institution Junior,P6-2,Higher Malay Language,54/100,59/100
2024,Chua Kai Wen 580,Henry Park Primary School,P6-2,Foundation Chinese Language,84/100,87/100
2024,Vignesh S/O Rajan 673,Anglo-Chinese School (Primary),P6-3,Foundation Tamil Language,63/100,62/100
2022,Priya D/O Kumar 613,Maris Stella Primary School,P6-1,Foundation Tamil Language,71/100,72/100
2023,Aqil Zulkarnain 338,West Grove Primary School,P6-2,Malay Language,89/100,85/100
2024,Mohammad Firdaus 703,West Grove Primary School,P6-1,Higher Malay Language,90/100,92/100
2024,Ainul Zafira 647,Princess Elizabeth Primary School,P6-2,Higher Malay Language,53/100,55/100
2024,Ahmad Hakim 663,Red Swastika School,P6-3,Higher Malay Language,50/100,52/100
2023,Siti Aminah 120,Tao Nan School,P6-2,Malay Language,76/100,81/100
2023,Priya D/O Kumar 388,Red Swastika School,P6-1,Foundation Tamil Language,76/100,73/100
2024,Ahmad Hakim 628,CHIJ St Nicholas Girls’ School,P6-2,Foundation Malay Language,93/100,91/100
2022,Chua Kai Wen 722,Maris Stella Primary School,P6-3,Chinese Language,76/100,81/100
2023,Anand S/O Murugan 812,Ai Tong School,P6-3,Higher Tamil Language,57/100,59/100
2022,Karthik S/O Ramesh 390,Pei Hwa Presbyterian Primary School,P6-3,Tamil Language,58/100,63/100
2022,Lee Hui Min 734,Rosyth School,P6-3,Higher Chinese Language,56/100,55/100
2023,Aqil Zulkarnain 150,Maris Stella Primary School,P6-3,Higher Malay Language,78/100,78/100
2023,Anand S/O Murugan 450,St Joseph’s Institution Junior,P6-3,Tamil Language,53/100,48/100
2022,Lim Jia Hao 746,Ai Tong School,P6-1,Higher Chinese Language,65/100,62/100
2024,Deepa D/O Muthu 345,Nan Hua Primary School,P6-3,Foundation Tamil Language,50/100,51/100
2023,Lim Jia Hao 662,Raffles Girls' Primary School,P6-1,Higher Chinese Language,76/100,72/100
2023,Meena D/O Ravi 939,Ai Tong School,P6-1,Foundation Tamil Language,75/100,72/100
2023,Chen Qi En 959,Maris Stella Primary School,P6-3,Higher Chinese Language,88/100,87/100
2022,Lim Jia Hao 638,Temasek Primary School,P6-3,Higher Chinese Language,90/100,92/100
2022,Mohammad Firdaus 603,Rosyth School,P6-1,Malay Language,58/100,53/100
2023,Hafiz Bin Rahman 316,Pei Chun Public School,P6-1,Malay Language,93/100,89/100
2023,Mohammad Firdaus 239,Pei Chun Public School,P6-3,Higher Malay Language,79/100,76/100
2022,Ng Zi Xuan 720,Pei Chun Public School,P6-3,Chinese Language,67/100,67/100
2024,Hafiz Bin Rahman 663,Catholic High School (Primary),P6-1,Higher Malay Language,84/100,84/100
2023,Nurul Huda 163,Pei Chun Public School,P6-2,Foundation Malay Language,63/100,60/100
2024,Lim Jia Hao 602,Raffles Girls' Primary School,P6-1,Higher Chinese Language,54/100,54/100
2022,Meena D/O Ravi 780,Nanyang Primary School,P6-2,Foundation Tamil Language,53/100,51/100
2023,Ong Shu Fen 813,St Joseph’s Institution Junior,P6-1,Foundation Chinese Language,68/100,68/100
2024,Ahmad Hakim 362,Yumin Primary School,P6-3,Higher Malay Language,54/100,55/100
2022,Tan Wei Ling 831,Henry Park Primary School,P6-3,Higher Chinese Language,77/100,78/100
2024,Muhd Irfan 220,Tao Nan School,P6-2,Foundation Malay Language,77/100,75/100
2023,Lakshmi D/O Kumar 177,CHIJ St Nicholas Girls’ School,P6-1,Tamil Language,54/100,59/100
2023,Karthik S/O Ramesh 241,Nan Hua Primary School,P6-1,Tamil Language,85/100,82/100
2023,Lakshmi D/O Kumar 355,St Joseph’s Institution Junior,P6-3,Tamil Language,52/100,55/100
2022,Hafiz Bin Rahman 324,Raffles Girls' Primary School,P6-3,Foundation Malay Language,54/100,51/100
2022,Lim Jia Hao 185,Anglo-Chinese School (Primary),P6-2,Higher Chinese Language,65/100,60/100
2024,Tan Wei Ling 576,Rosyth School,P6-1,Foundation Chinese Language,80/100,75/100
2022,Sivakumar Raj 939,Yumin Primary School,P6-3,Higher Tamil Language,58/100,61/100
2024,Vignesh S/O Rajan 434,Pei Chun Public School,P6-2,Tamil Language,79/100,83/100
2023,Chua Kai Wen 576,CHIJ St Nicholas Girls’ School,P6-2,Foundation Chinese Language,94/100,90/100
2023,Chua Kai Wen 686,Yumin Primary School,P6-3,Higher Chinese Language,73/100,78/100
2023,Ong Shu Fen 833,Princess Elizabeth Primary School,P6-1,Chinese Language,56/100,61/100
2023,Ng Zi Xuan 795,Gongshang Primary School,P6-2,Foundation Chinese Language,63/100,61/100
2023,Mohammad Firdaus 413,Rosyth School,P6-1,Higher Malay Language,66/100,62/100
2023,Nur Aisyah 683,Gongshang Primary School,P6-3,Higher Malay Language,92/100,96/100
2023,Lee Hui Min 751,Rosyth School,P6-2,Chinese Language,90/100,87/100
2023,Goh Jun Wei 903,Rosyth School,P6-3,Higher Chinese Language,91/100,95/100
2023,Ong Shu Fen 889,Nanyang Primary School,P6-1,Higher Chinese Language,92/100,89/100
2023,Wong Yu Ting 120,Yumin Primary School,P6-1,Chinese Language,92/100,97/100
2022,Anand S/O Murugan 178,Tao Nan School,P6-2,Higher Tamil Language,83/100,81/100
2022,Deepa D/O Muthu 361,Maris Stella Primary School,P6-3,Foundation Tamil Language,92/100,95/100
2023,Tan Wei Ling 839,West Grove Primary School,P6-3,Foundation Chinese Language,52/100,53/100
2024,Nurul Huda 710,Temasek Primary School,P6-1,Malay Language,67/100,67/100
2024,Goh Jun Wei 376,Temasek Primary School,P6-3,Higher Chinese Language,78/100,80/100
2024,Ahmad Hakim 607,Nan Hua Primary School,P6-3,Malay Language,90/100,90/100
2023,Mohammad Firdaus 666,CHIJ St Nicholas Girls’ School,P6-2,Malay Language,94/100,97/100
2023,Imran Bin Azmi 343,Raffles Girls' Primary School,P6-3,Foundation Malay Language,95/100,92/100
2022,Arunasarawasthy 510,Pei Hwa Presbyterian Primary School,P6-3,Foundation Tamil Language,70/100,70/100
2022,Priya D/O Kumar 471,Henry Park Primary School,P6-3,Foundation Tamil Language,59/100,59/100
2024,Nurul Huda 310,Catholic High School (Primary),P6-3,Foundation Malay Language,66/100,70/100
2022,Chen Qi En 356,Nan Hua Primary School,P6-3,Foundation Chinese Language,61/100,63/100
2024,Goh Jun Wei 303,Tao Nan School,P6-2,Higher Chinese Language,90/100,95/100
2022,Anand S/O Murugan 861,Temasek Primary School,P6-1,Tamil Language,70/100,71/100
2023,Wong Yu Ting 123,Catholic High School (Primary),P6-3,Chinese Language,53/100,56/100
2024,Sivakumar Raj 897,Ai Tong School,P6-2,Higher Tamil Language,80/100,79/100
2022,Chen Qi En 586,Tao Nan School,P6-1,Foundation Chinese Language,78/100,81/100
2024,Wong Yu Ting 453,Pei Chun Public School,P6-2,Higher Chinese Language,81/100,84/100
2022,Vignesh S/O Rajan 914,Nan Hua Primary School,P6-2,Higher Tamil Language,65/100,65/100
2024,Suresh S/O Raj 936,Maris Stella Primary School,P6-2,Tamil Language,66/100,67/100
2022,Nur Aisyah 174,St Joseph’s Institution Junior,P6-2,Malay Language,85/100,90/100
2023,Wong Yu Ting 236,Anglo-Chinese School (Primary),P6-1,Higher Chinese Language,69/100,65/100
2024,Lee Hui Min 231,Temasek Primary School,P6-2,Chinese Language,52/100,51/100
2024,Ahmad Hakim 528,West Grove Primary School,P6-1,Higher Malay Language,86/100,89/100
2022,Hafiz Bin Rahman 997,Pei Chun Public School,P6-1,Higher Malay Language,83/100,81/100
2023,Imran Bin Azmi 654,Temasek Primary School,P6-1,Malay Language,78/100,75/100
2024,Hafiz Bin Rahman 244,Tao Nan School,P6-2,Foundation Malay Language,92/100,89/100
2022,Siti Aminah 402,Nanyang Primary School,P6-2,Foundation Malay Language,76/100,75/100
2022,Wong Yu Ting 553,Raffles Girls' Primary School,P6-1,Chinese Language,64/100,59/100
2024,Lakshmi D/O Kumar 424,Gongshang Primary School,P6-3,Tamil Language,58/100,54/100
2024,Imran Bin Azmi 486,Nan Hua Primary School,P6-2,Higher Malay Language,82/100,83/100
2024,Lakshmi D/O Kumar 395,West Grove Primary School,P6-1,Higher Tamil Language,90/100,91/100
2023,Priya D/O Kumar 631,Catholic High School (Primary),P6-1,Tamil Language,51/100,51/100
2023,Sivakumar Raj 260,Nan Hua Primary School,P6-1,Foundation Tamil Language,87/100,87/100
2022,Deepa D/O Muthu 471,CHIJ St Nicholas Girls’ School,P6-3,Foundation Tamil Language,63/100,59/100
2023,Tan Wei Ling 129,Nan Hua Primary School,P6-2,Foundation Chinese Language,56/100,52/100
2024,Wong Yu Ting 841,Gongshang Primary School,P6-2,Foundation Chinese Language,66/100,68/100
2023,Teo Wen Jie 298,St Joseph’s Institution Junior,P6-2,Chinese Language,78/100,78/100
2022,Deepa D/O Muthu 461,Pei Hwa Presbyterian Primary School,P6-2,Higher Tamil Language,62/100,60/100
2022,Chen Qi En 706,Catholic High School (Primary),P6-3,Higher Chinese Language,71/100,70/100
2022,Nur Aisyah 994,Red Swastika School,P6-3,Higher Malay Language,73/100,73/100
2022,Lim Jia Hao 221,Temasek Primary School,P6-3,Chinese Language,91/100,88/100
2024,Meena D/O Ravi 243,West Grove Primary School,P6-2,Higher Tamil Language,52/100,54/100
2023,Wong Yu Ting 335,Ai Tong School,P6-2,Chinese Language,90/100,95/100
2024,Ong Shu Fen 441,Temasek Primary School,P6-3,Chinese Language,51/100,47/100
2022,Imran Bin Azmi 778,Anglo-Chinese School (Primary),P6-3,Malay Language,61/100,65/100
2023,Goh Jun Wei 220,Nan Hua Primary School,P6-2,Higher Chinese Language,81/100,76/100
2022,Karthik S/O Ramesh 787,Rosyth School,P6-3,Tamil Language,92/100,88/100
2022,Nurul Huda 468,Ai Tong School,P6-1,Higher Malay Language,91/100,95/100
2022,Chen Qi En 570,Maris Stella Primary School,P6-2,Foundation Chinese Language,79/100,84/100
2022,Chua Kai Wen 374,Princess Elizabeth Primary School,P6-2,Foundation Chinese Language,72/100,70/100
2023,Lakshmi D/O Kumar 462,Tao Nan School,P6-3,Higher Tamil Language,90/100,85/100
2022,Imran Bin Azmi 931,Princess Elizabeth Primary School,P6-2,Higher Malay Language,87/100,82/100
2023,Nurul Huda 272,Anglo-Chinese School (Primary),P6-3,Malay Language,55/100,57/100
2022,Vignesh S/O Rajan 589,Henry Park Primary School,P6-1,Foundation Tamil Language,87/100,85/100
2022,Sivakumar Raj 408,Pei Hwa Presbyterian Primary School,P6-1,Higher Tamil Language,95/100,98/100
2022,Imran Bin Azmi 201,Maris Stella Primary School,P6-3,Foundation Malay Language,51/100,52/100
2024,Ong Shu Fen 106,Red Swastika School,P6-2,Higher Chinese Language,74/100,78/100
2023,Sivakumar Raj 449,Yumin Primary School,P6-3,Higher Tamil Language,80/100,80/100
2024,Aqil Zulkarnain 533,Temasek Primary School,P6-2,Higher Malay Language,83/100,88/100
2023,Karthik S/O Ramesh 911,Henry Park Primary School,P6-2,Higher Tamil Language,83/100,81/100
2023,Priya D/O Kumar 586,Gongshang Primary School,P6-2,Higher Tamil Language,81/100,81/100
2022,Priya D/O Kumar 208,Maris Stella Primary School,P6-2,Foundation Tamil Language,65/100,68/100
2024,Nurul Huda 625,Tao Nan School,P6-3,Malay Language,81/100,83/100
2023,Deepa D/O Muthu 711,Nanyang Primary School,P6-2,Foundation Tamil Language,74/100,73/100
2022,Ng Zi Xuan 792,Henry Park Primary School,P6-2,Chinese Language,55/100,59/100
2023,Lim Jia Hao 769,Maris Stella Primary School,P6-3,Chinese Language,86/100,84/100
2022,Wong Yu Ting 441,St Joseph’s Institution Junior,P6-1,Chinese Language,53/100,53/100
2023,Chua Kai Wen 428,Pei Chun Public School,P6-2,Foundation Chinese Language,92/100,89/100
2024,Suresh S/O Raj 202,Red Swastika School,P6-3,Higher Tamil Language,91/100,91/100
2023,Priya D/O Kumar 974,Raffles Girls' Primary School,P6-1,Foundation Tamil Language,84/100,88/100
2022,Nurul Huda 145,St Joseph’s Institution Junior,P6-3,Malay Language,59/100,57/100
2022,Suresh S/O Raj 547,Pei Hwa Presbyterian Primary School,P6-2,Higher Tamil Language,82/100,79/100
2022,Hafiz Bin Rahman 119,Rosyth School,P6-1,Foundation Malay Language,54/100,55/100
2023,Deepa D/O Muthu 292,Ai Tong School,P6-3,Higher Tamil Language,66/100,63/100
2024,Muhd Irfan 538,Tao Nan School,P6-3,Malay Language,70/100,70/100
2024,Vignesh S/O Rajan 474,Pei Chun Public School,P6-1,Higher Tamil Language,55/100,53/100
2024,Nur Aisyah 968,Yumin Primary School,P6-3,Foundation Malay Language,61/100,57/100
2022,Ong Shu Fen 123,Ai Tong School,P6-1,Chinese Language,85/100,82/100
2022,Lakshmi D/O Kumar 152,St Joseph’s Institution Junior,P6-3,Foundation Tamil Language,81/100,80/100
2023,Hafiz Bin Rahman 793,Temasek Primary School,P6-3,Higher Malay Language,83/100,82/100
2024,Siti Aminah 305,Anglo-Chinese School (Primary),P6-3,Foundation Malay Language,67/100,63/100
2023,Anand S/O Murugan 549,Catholic High School (Primary),P6-1,Tamil Language,92/100,96/100
2024,Ng Zi Xuan 128,Ai Tong School,P6-2,Higher Chinese Language,61/100,57/100
2024,Muhd Irfan 452,CHIJ St Nicholas Girls’ School,P6-3,Foundation Malay Language,71/100,74/100
2022,Lim Jia Hao 594,West Grove Primary School,P6-1,Foundation Chinese Language,65/100,67/100
2024,Ong Shu Fen 326,Nan Hua Primary School,P6-3,Higher Chinese Language,92/100,95/100
2022,Priya D/O Kumar 717,Princess Elizabeth Primary School,P6-2,Tamil Language,57/100,55/100
2024,Tan Wei Ling 845,West Grove Primary School,P6-1,Chinese Language,56/100,52/100
2024,Lakshmi D/O Kumar 450,West Grove Primary School,P6-1,Tamil Language,56/100,60/100
2024,Lee Hui Min 609,Pei Hwa Presbyterian Primary School,P6-1,Chinese Language,58/100,61/100
