School,Student_ID,Name,Class,Gender,Date,Status,Reason,Absent
Victoria School,S2522,Isabelle Ho,Sec5-4,F,2025-10-04,Present,,0
Peicai Secondary School,S2523,Jasmine Tan,Sec1-4,M,2022-12-19,Absent,Family Matter,1
Bedok Green Secondary School,S2524,Daniel Ong,Sec4-2,F,2024-03-02,Present,,0
Bukit Merah Secondary School,S2525,Jasmine Tan,Sec1-2,F,2023-12-11,Absent,Truancy,1
Maris Stella High School,S2526,Jasmine Tan,Sec3-1,M,2022-09-17,Present,,0
Yishun Town Secondary School,S2527,Gabriel Chua,Sec1-2,F,2022-02-18,Absent,MC,1
Maris Stella High School,S2528,Ella Chua,Sec5-2,F,2025-01-16,Present,,0
Hougang Secondary School,S2529,Faith Goh,Sec1-2,M,2022-06-19,Present,,0
Cedar Girls' Secondary School,S2530,Daniel Ong,Sec3-3,F,2023-04-20,Present,,0
Presbyterian High School,S2531,Aaron Tan,Sec4-3,M,2024-04-12,Present,,0
St. Patrick's School,S2532,Gabriel Chua,Sec1-2,F,2023-04-27,Late,,0
St. Patrick's School,S2533,Benjamin Lee,Sec5-1,F,2022-08-02,Present,,0
Holy Innocents' High School,S2534,Benjamin Lee,Sec4-1,F,2024-01-30,Present,,0
Nan Chiau High School,S2535,Daniel Ong,Sec5-4,M,2023-11-27,Present,,0
Yishun Town Secondary School,S2536,Gabriel Chua,Sec2-1,F,2024-02-17,Present,,0
Zhonghua Secondary School,S2537,Charlotte Ng,Sec1-3,F,2025-05-29,Present,,0
Victoria School,S2538,Lucas Tan,Sec1-2,M,2023-12-06,Absent,Other,1
Temasek Secondary School,S2539,Adele Lim,Sec5-1,F,2024-04-13,Present,,0
Compassvale Secondary School,S2540,Marcus Teo,Sec4-2,F,2025-07-07,Present,,0
Fairfield Methodist Secondary School,S2541,Grace Lim,Sec2-1,F,2025-03-30,Present,,0
Peicai Secondary School,S2542,Aaron Tan,Sec4-2,F,2024-04-30,Present,,0
Zhonghua Secondary School,S2543,Ethan Ng,Sec5-4,F,2023-01-14,Absent,Truancy,1
Bukit Merah Secondary School,S2544,Ella Chua,Sec1-2,M,2023-03-07,Late,,0
Jurong Secondary School,S2545,Jasmine Tan,Sec4-1,M,2022-05-04,Present,,0
Yishun Town Secondary School,S2546,Daphne Lee,Sec4-2,M,2023-06-23,Present,,0
Hougang Secondary School,S2547,Gabriel Chua,Sec4-4,M,2023-06-09,Absent,Medical Leave,1
Bukit Merah Secondary School,S2548,Jasmine Tan,Sec5-4,M,2022-05-09,Present,,0
Cedar Girls' Secondary School,S2549,Charlotte Ng,Sec4-4,M,2023-11-23,Present,,0
Compassvale Secondary School,S2550,Bella Tan,Sec4-2,M,2024-08-13,Present,,0
St. Andrew's Secondary School,S2551,Marcus Teo,Sec4-3,M,2024-01-19,Present,,0
Anderson Secondary School,S2552,Ella Chua,Sec3-4,M,2023-12-12,Absent,Unknown,1
Temasek Secondary School,S2553,Grace Lim,Sec4-1,F,2024-12-14,Present,,0
Cedar Girls' Secondary School,S2554,Isabelle Ho,Sec1-1,M,2022-02-05,Present,,0
CHIJ Katong Convent,S2555,Benjamin Lee,Sec5-3,F,2023-02-23,Absent,Family Matter,1
St. Patrick's School,S2556,Daniel Ong,Sec3-1,M,2025-07-07,Absent,Medical Leave,1
Nan Chiau High School,S2557,Ethan Ng,Sec3-1,M,2022-06-20,Late,,0
Victoria School,S2558,Lucas Tan,Sec3-3,F,2023-10-20,Present,,0
Cedar Girls' Secondary School,S2559,Marcus Teo,Sec5-4,M,2023-01-14,Absent,Truancy,1
Gan Eng Seng School,S2560,Ethan Ng,Sec4-3,F,2025-02-04,Present,,0
Temasek Secondary School,S2561,Aaron Tan,Sec1-4,M,2023-09-15,Present,,0
Anglican High School,S2562,Aaron Tan,Sec1-1,F,2023-12-11,Present,,0
Presbyterian High School,S2563,Gabriel Chua,Sec5-3,M,2024-04-17,Absent,Unknown,1
Presbyterian High School,S2564,Isabelle Ho,Sec1-3,M,2025-01-12,Present,,0
Dunman High School,S2565,Jayden Ho,Sec3-2,M,2024-02-08,Present,,0
Compassvale Secondary School,S2566,Bella Tan,Sec5-1,F,2023-01-17,Present,,0
Bedok Green Secondary School,S2567,Faith Goh,Sec1-2,M,2025-04-26,Absent,Medical Leave,1
Clementi Town Secondary School,S2568,Jayden Ho,Sec2-4,F,2023-08-07,Absent,Truancy,1
CHIJ Katong Convent,S2569,Daphne Lee,Sec4-4,F,2025-10-20,Present,,0
St. Andrew's Secondary School,S2570,Isabelle Ho,Sec2-3,M,2023-08-20,Present,,0
Jurong Secondary School,S2571,Adele Lim,Sec2-4,F,2025-03-24,Present,,0
Anderson Secondary School,S2572,Gabriel Chua,Sec1-2,F,2022-06-01,Absent,Unknown,1
Regent Secondary School,S2573,Hannah Ong,Sec1-2,M,2022-11-29,Absent,MC,1
Anglican High School,S2574,Charlotte Ng,Sec4-2,M,2024-12-28,Present,,0
Anderson Secondary School,S2575,Bella Tan,Sec4-4,F,2025-06-23,Present,,0
Victoria School,S2576,Benjamin Lee,Sec4-3,F,2022-04-24,Present,,0
Temasek Secondary School,S2577,Daphne Lee,Sec2-4,M,2022-02-13,Present,,0
Hougang Secondary School,S2578,Daniel Ong,Sec2-1,M,2025-06-06,Present,,0
Clementi Town Secondary School,S2579,Ethan Ng,Sec3-1,M,2024-10-09,Present,,0
Bedok Green Secondary School,S2580,Caleb Lim,Sec1-4,M,2022-08-31,Present,,0
Bedok Green Secondary School,S2581,Caleb Lim,Sec5-1,F,2023-09-30,Present,,0
Kent Ridge Secondary School,S2582,Aaron Tan,Sec2-2,F,2025-08-21,Absent,Family Matter,1
Compassvale Secondary School,S2583,Jayden Ho,Sec2-1,F,2023-09-04,Absent,Sick,1
Bukit Merah Secondary School,S2584,Marcus Teo,Sec4-4,F,2025-06-16,Present,,0
Maris Stella High School,S2585,Ethan Ng,Sec5-3,F,2022-05-06,Present,,0
Clementi Town Secondary School,S2586,Daphne Lee,Sec2-1,M,2023-03-26,Absent,Other,1
Springfield Secondary School,S2587,Bella Tan,Sec4-1,F,2022-02-27,Present,,0
Maris Stella High School,S2588,Ethan Ng,Sec5-1,M,2024-09-11,Present,,0
Yishun Town Secondary School,S2589,Jayden Ho,Sec2-3,M,2025-08-20,Present,,0
Maris Stella High School,S2590,Lucas Tan,Sec5-2,F,2025-05-27,Present,,0
St. Andrew's Secondary School,S2591,Isaac Koh,Sec2-3,F,2024-08-15,Late,,0
Bedok Green Secondary School,S2592,Isaac Koh,Sec3-1,M,2024-04-18,Absent,Unknown,1
Cedar Girls' Secondary School,S2593,Jasmine Tan,Sec4-3,M,2024-10-15,Absent,Truancy,1
Gan Eng Seng School,S2594,Grace Lim,Sec5-4,F,2024-05-18,Present,,0
Kent Ridge Secondary School,S2595,Caleb Lim,Sec1-1,F,2023-07-09,Present,,0
Clementi Town Secondary School,S2596,Bella Tan,Sec2-1,M,2025-09-04,Present,,0
Yishun Town Secondary School,S2597,Benjamin Lee,Sec1-3,F,2023-10-26,Present,,0
Hougang Secondary School,S2598,Isaac Koh,Sec1-2,M,2023-11-12,Absent,MC,1
Compassvale Secondary School,S2599,Faith Goh,Sec3-3,M,2022-06-13,Present,,0
Holy Innocents' High School,S2600,Jayden Ho,Sec2-2,M,2023-01-05,Present,,0
Victoria School,S2601,Ella Chua,Sec2-3,M,2023-04-08,Present,,0
Bukit Merah Secondary School,S2602,Aaron Tan,Sec4-3,M,2024-03-10,Absent,Unknown,1
Temasek Secondary School,S2603,Faith Goh,Sec5-1,F,2024-03-13,Present,,0
Yishun Town Secondary School,S2604,Jasmine Tan,Sec2-4,F,2022-06-09,Present,,0
Clementi Town Secondary School,S2605,Ethan Ng,Sec3-4,M,2024-03-18,Absent,Truancy,1
Holy Innocents' High School,S2606,Isaac Koh,Sec5-4,M,2024-12-09,Present,,0
Bukit Merah Secondary School,S2607,Benjamin Lee,Sec3-3,F,2025-07-25,Present,,0
CHIJ Katong Convent,S2608,Bella Tan,Sec3-2,F,2023-07-09,Present,,0
Clementi Town Secondary School,S2609,Ethan Ng,Sec2-1,F,2024-07-03,Present,,0
St. Patrick's School,S2610,Daniel Ong,Sec4-1,M,2025-04-09,Absent,Truancy,1
Temasek Secondary School,S2611,Marcus Teo,Sec2-3,F,2023-10-07,Present,,0
Dunman High School,S2612,Adele Lim,Sec1-2,M,2023-08-02,Present,,0
Holy Innocents' High School,S2613,Benjamin Lee,Sec2-3,F,2022-11-21,Present,,0
Anglican High School,S2614,Gabriel Chua,Sec4-2,M,2025-10-19,Late,,0
Peicai Secondary School,S2615,Marcus Teo,Sec4-4,M,2024-03-30,Present,,0
Jurong Secondary School,S2616,Adele Lim,Sec4-2,M,2025-05-29,Present,,0
Springfield Secondary School,S2617,Daniel Ong,Sec2-1,F,2022-11-20,Present,,0
Gan Eng Seng School,S2618,Benjamin Lee,Sec3-1,M,2024-09-11,Absent,MC,1
Hougang Secondary School,S2619,Hannah Ong,Sec3-1,M,2022-10-13,Present,,0
Singapore Chinese Girls' School,S2620,Faith Goh,Sec5-2,M,2023-03-07,Late,,0
Anderson Secondary School,S2621,Daphne Lee,Sec1-2,M,2023-09-05,Absent,Sick,1
Kent Ridge Secondary School,S2622,Hannah Ong,Sec3-1,M,2024-01-21,Late,,0
Zhonghua Secondary School,S2623,Bella Tan,Sec4-3,F,2025-02-22,Present,,0
St. Andrew's Secondary School,S2624,Charlotte Ng,Sec3-2,M,2022-06-04,Late,,0
Nan Chiau High School,S2625,Marcus Teo,Sec1-2,F,2024-10-02,Present,,0
Jurong Secondary School,S2626,Lucas Tan,Sec3-4,F,2023-09-05,Late,,0
Nan Chiau High School,S2627,Daphne Lee,Sec4-4,F,2023-05-10,Present,,0
Temasek Secondary School,S2628,Benjamin Lee,Sec5-1,M,2023-11-27,Present,,0
St. Patrick's School,S2629,Daniel Ong,Sec2-3,F,2023-07-05,Present,,0
Hougang Secondary School,S2630,Aaron Tan,Sec3-3,M,2025-03-18,Present,,0
Peicai Secondary School,S2631,Daniel Ong,Sec1-4,M,2024-11-30,Present,,0
Peicai Secondary School,S2632,Hannah Ong,Sec4-2,F,2024-01-10,Absent,Truancy,1
Nan Chiau High School,S2633,Hannah Ong,Sec3-3,F,2024-10-29,Present,,0
Victoria School,S2634,Lucas Tan,Sec2-1,M,2025-10-07,Absent,Other,1
Regent Secondary School,S2635,Bella Tan,Sec4-3,F,2023-11-03,Present,,0
Yishun Town Secondary School,S2636,Caleb Lim,Sec3-4,M,2023-09-16,Present,,0
St. Patrick's School,S2637,Charlotte Ng,Sec2-1,M,2022-04-05,Present,,0
Dunman High School,S2638,Adele Lim,Sec4-3,F,2025-06-06,Absent,Truancy,1
Hougang Secondary School,S2639,Hannah Ong,Sec2-3,F,2022-05-20,Present,,0
Regent Secondary School,S2640,Ella Chua,Sec2-2,M,2022-09-29,Present,,0
Anderson Secondary School,S2641,Jasmine Tan,Sec1-1,M,2022-03-21,Absent,Truancy,1
St. Andrew's Secondary School,S2642,Ethan Ng,Sec5-4,M,2024-05-09,Present,,0
Cedar Girls' Secondary School,S2643,Daniel Ong,Sec3-3,M,2025-05-06,Absent,Truancy,1
Zhonghua Secondary School,S2644,Grace Lim,Sec1-1,M,2024-05-19,Absent,Family Matter,1
Temasek Secondary School,S2645,Ethan Ng,Sec4-2,M,2024-01-19,Present,,0
CHIJ Katong Convent,S2646,Isabelle Ho,Sec2-3,F,2024-07-23,Present,,0
Temasek Secondary School,S2647,Isabelle Ho,Sec4-1,M,2025-03-12,Present,,0
Temasek Secondary School,S2648,Ethan Ng,Sec2-4,M,2022-05-04,Absent,Truancy,1
Bedok Green Secondary School,S2649,Adele Lim,Sec2-2,F,2024-01-28,Present,,0
Presbyterian High School,S2650,Lucas Tan,Sec4-1,M,2024-02-10,Absent,Sick,1
Jurong Secondary School,S2651,Ethan Ng,Sec2-2,M,2025-03-30,Absent,Family Matter,1
Kent Ridge Secondary School,S2652,Ethan Ng,Sec3-2,F,2025-02-25,Late,,0
Singapore Chinese Girls' School,S2653,Aaron Tan,Sec5-4,F,2024-11-03,Present,,0
Zhonghua Secondary School,S2654,Daphne Lee,Sec4-2,F,2022-03-20,Late,,0
Clementi Town Secondary School,S2655,Benjamin Lee,Sec1-3,F,2025-10-12,Absent,Truancy,1
Bukit Merah Secondary School,S2656,Gabriel Chua,Sec3-2,M,2024-05-22,Present,,0
Bedok Green Secondary School,S2657,Benjamin Lee,Sec5-1,F,2024-05-24,Present,,0
Zhonghua Secondary School,S2658,Daniel Ong,Sec5-3,M,2024-06-24,Present,,0
Zhonghua Secondary School,S2659,Bella Tan,Sec2-1,M,2023-05-24,Present,,0
Regent Secondary School,S2660,Hannah Ong,Sec4-4,M,2024-07-02,Present,,0
Zhonghua Secondary School,S2661,Hannah Ong,Sec2-1,M,2024-04-10,Present,,0
Compassvale Secondary School,S2662,Isabelle Ho,Sec2-1,M,2023-05-20,Present,,0
Bukit Merah Secondary School,S2663,Jasmine Tan,Sec5-4,F,2023-05-05,Absent,Sick,1
Peicai Secondary School,S2664,Hannah Ong,Sec2-3,M,2022-06-27,Present,,0
Singapore Chinese Girls' School,S2665,Grace Lim,Sec5-1,F,2023-06-02,Present,,0
Compassvale Secondary School,S2666,Faith Goh,Sec4-4,M,2022-08-04,Late,,0
Yishun Town Secondary School,S2667,Jasmine Tan,Sec2-3,F,2025-08-06,Absent,Sick,1
Anderson Secondary School,S2668,Adele Lim,Sec4-2,M,2025-02-16,Present,,0
Fairfield Methodist Secondary School,S2669,Gabriel Chua,Sec3-4,M,2022-01-31,Present,,0
Bukit Merah Secondary School,S2670,Aaron Tan,Sec4-2,F,2025-09-22,Absent,Truancy,1
Gan Eng Seng School,S2671,Jasmine Tan,Sec5-2,F,2025-06-24,Absent,MC,1
Nan Chiau High School,S2672,Benjamin Lee,Sec5-4,F,2023-05-07,Absent,Unknown,1
Presbyterian High School,S2673,Daniel Ong,Sec2-2,M,2025-01-14,Present,,0
St. Andrew's Secondary School,S2674,Ella Chua,Sec4-3,M,2022-10-03,Absent,Sick,1
Kent Ridge Secondary School,S2675,Hannah Ong,Sec3-4,F,2022-09-23,Absent,Family Matter,1
St. Andrew's Secondary School,S2676,Caleb Lim,Sec5-2,M,2022-05-05,Present,,0
Presbyterian High School,S2677,Adele Lim,Sec5-4,M,2023-05-21,Present,,0
Kent Ridge Secondary School,S2678,Ethan Ng,Sec3-4,M,2025-10-06,Present,,0
Jurong Secondary School,S2679,Daphne Lee,Sec4-1,M,2023-05-25,Present,,0
St. Patrick's School,S2680,Jayden Ho,Sec2-2,F,2022-06-18,Present,,0
Hougang Secondary School,S2681,Hannah Ong,Sec5-3,M,2023-05-10,Absent,Truancy,1
Cedar Girls' Secondary School,S2682,Jasmine Tan,Sec3-1,F,2022-01-23,Present,,0
Maris Stella High School,S2683,Lucas Tan,Sec4-1,M,2022-04-12,Absent,Truancy,1
Dunman High School,S2684,Isabelle Ho,Sec5-4,F,2025-03-11,Present,,0
Dunman High School,S2685,Charlotte Ng,Sec1-1,M,2023-10-20,Late,,0
Springfield Secondary School,S2686,Jasmine Tan,Sec5-1,M,2024-02-04,Present,,0
Zhonghua Secondary School,S2687,Hannah Ong,Sec2-2,F,2023-10-23,Present,,0
Bedok Green Secondary School,S2688,Hannah Ong,Sec2-2,M,2025-06-30,Present,,0
Dunman High School,S2689,Hannah Ong,Sec4-3,F,2025-05-16,Present,,0
Peicai Secondary School,S2690,Bella Tan,Sec5-3,M,2024-07-27,Present,,0
Singapore Chinese Girls' School,S2691,Caleb Lim,Sec5-3,M,2025-10-02,Present,,0
Kent Ridge Secondary School,S2692,Gabriel Chua,Sec5-4,F,2025-04-02,Present,,0
Zhonghua Secondary School,S2693,Benjamin Lee,Sec3-2,M,2024-10-22,Present,,0
Nan Chiau High School,S2694,Jasmine Tan,Sec1-3,F,2024-05-04,Present,,0
Bukit Merah Secondary School,S2695,Ella Chua,Sec2-2,M,2023-05-12,Present,,0
Bukit Merah Secondary School,S2696,Isabelle Ho,Sec1-1,F,2022-03-14,Absent,Other,1
Clementi Town Secondary School,S2697,Grace Lim,Sec2-4,F,2023-10-02,Present,,0
Regent Secondary School,S2698,Lucas Tan,Sec1-3,F,2023-03-21,Present,,0
Victoria School,S2699,Gabriel Chua,Sec3-4,F,2025-04-05,Present,,0
CHIJ Katong Convent,S2700,Marcus Teo,Sec5-1,M,2022-08-18,Absent,MC,1
St. Patrick's School,S2701,Caleb Lim,Sec4-4,F,2023-11-14,Present,,0
Temasek Secondary School,S2702,Ethan Ng,Sec3-3,M,2023-05-07,Present,,0
Cedar Girls' Secondary School,S2703,Ella Chua,Sec2-3,M,2024-07-17,Present,,0
Zhonghua Secondary School,S2704,Ella Chua,Sec3-3,F,2022-04-12,Absent,Family Matter,1
Cedar Girls' Secondary School,S2705,Gabriel Chua,Sec3-2,M,2023-06-04,Present,,0
St. Andrew's Secondary School,S2706,Charlotte Ng,Sec2-1,F,2023-12-18,Absent,Family Matter,1
Presbyterian High School,S2707,Isaac Koh,Sec3-2,M,2025-02-25,Present,,0
Bedok Green Secondary School,S2708,Jayden Ho,Sec5-4,F,2025-08-20,Present,,0
Bukit Merah Secondary School,S2709,Grace Lim,Sec4-4,M,2022-11-30,Present,,0
Gan Eng Seng School,S2710,Daniel Ong,Sec2-1,F,2022-01-14,Present,,0
St. Patrick's School,S2711,Isaac Koh,Sec2-2,F,2024-04-12,Present,,0
Yishun Town Secondary School,S2712,Isabelle Ho,Sec5-4,M,2025-05-31,Absent,Truancy,1
Regent Secondary School,S2713,Grace Lim,Sec3-2,F,2022-03-18,Present,,0
Zhonghua Secondary School,S2714,Caleb Lim,Sec2-4,F,2025-03-16,Late,,0
Gan Eng Seng School,S2715,Ethan Ng,Sec2-1,M,2022-10-30,Present,,0
Singapore Chinese Girls' School,S2716,Gabriel Chua,Sec4-1,M,2025-10-29,Present,,0
Anderson Secondary School,S2717,Caleb Lim,Sec2-2,M,2025-09-25,Present,,0
Presbyterian High School,S2718,Caleb Lim,Sec3-1,M,2024-07-19,Late,,0
CHIJ Katong Convent,S2719,Hannah Ong,Sec1-3,M,2022-02-11,Present,,0
Springfield Secondary School,S2720,Daniel Ong,Sec4-4,F,2024-06-18,Absent,Unknown,1
St. Andrew's Secondary School,S2721,Marcus Teo,Sec1-4,F,2023-09-07,Present,,0
Nan Chiau High School,S2722,Aaron Tan,Sec5-2,F,2024-04-27,Present,,0
Singapore Chinese Girls' School,S2723,Grace Lim,Sec2-3,F,2023-04-28,Present,,0
St. Andrew's Secondary School,S2724,Lucas Tan,Sec1-4,M,2025-04-06,Present,,0
Peicai Secondary School,S2725,Hannah Ong,Sec3-1,M,2024-08-19,Present,,0
Bukit Merah Secondary School,S2726,Daniel Ong,Sec5-1,F,2022-09-15,Late,,0
Zhonghua Secondary School,S2727,Jayden Ho,Sec4-4,F,2022-04-25,Late,,0
Cedar Girls' Secondary School,S2728,Hannah Ong,Sec2-4,F,2024-07-17,Absent,Truancy,1
Compassvale Secondary School,S2729,Daphne Lee,Sec5-1,F,2023-10-04,Present,,0
St. Andrew's Secondary School,S2730,Jayden Ho,Sec5-4,F,2023-09-21,Late,,0
Bedok Green Secondary School,S2731,Ethan Ng,Sec1-1,F,2022-01-05,Present,,0
Anderson Secondary School,S2732,Caleb Lim,Sec1-3,F,2025-05-27,Absent,Other,1
Anderson Secondary School,S2733,Jayden Ho,Sec2-1,F,2022-05-21,Present,,0
Anglican High School,S2734,Marcus Teo,Sec5-3,F,2024-12-03,Present,,0
Bukit Merah Secondary School,S2735,Daniel Ong,Sec3-1,F,2023-06-17,Present,,0
Bedok Green Secondary School,S2736,Jayden Ho,Sec1-4,F,2022-02-25,Present,,0
Zhonghua Secondary School,S2737,Bella Tan,Sec2-2,F,2023-07-09,Present,,0
Holy Innocents' High School,S2738,Faith Goh,Sec2-3,M,2024-05-30,Present,,0
Holy Innocents' High School,S2739,Daniel Ong,Sec5-2,M,2025-03-08,Absent,Truancy,1
Gan Eng Seng School,S2740,Jasmine Tan,Sec3-1,M,2025-04-06,Present,,0
Gan Eng Seng School,S2741,Aaron Tan,Sec3-1,F,2023-12-29,Absent,Truancy,1
Yishun Town Secondary School,S2742,Charlotte Ng,Sec3-4,F,2024-12-18,Absent,Truancy,1
Victoria School,S2743,Hannah Ong,Sec4-2,M,2024-04-24,Present,,0
Bukit Merah Secondary School,S2744,Bella Tan,Sec5-1,F,2023-10-23,Present,,0
CHIJ Katong Convent,S2745,Ella Chua,Sec5-2,M,2023-11-23,Present,,0
Gan Eng Seng School,S2746,Grace Lim,Sec5-2,M,2024-03-05,Present,,0
Hougang Secondary School,S2747,Ella Chua,Sec5-2,F,2023-03-20,Absent,Truancy,1
Singapore Chinese Girls' School,S2748,Caleb Lim,Sec5-2,F,2022-11-27,Present,,0
Jurong Secondary School,S2749,Ethan Ng,Sec3-1,M,2025-06-16,Present,,0
Singapore Chinese Girls' School,S2750,Benjamin Lee,Sec5-3,F,2022-07-07,Present,,0
Regent Secondary School,S2751,Hannah Ong,Sec4-1,M,2022-08-05,Present,,0
Clementi Town Secondary School,S2752,Faith Goh,Sec5-1,F,2023-07-30,Present,,0
Temasek Secondary School,S2753,Daphne Lee,Sec3-4,M,2025-07-10,Present,,0
Presbyterian High School,S2754,Benjamin Lee,Sec4-1,M,2022-06-08,Absent,Unknown,1
Cedar Girls' Secondary School,S2755,Faith Goh,Sec4-2,M,2025-03-22,Present,,0
Maris Stella High School,S2756,Grace Lim,Sec4-2,F,2023-03-22,Absent,Truancy,1
Fairfield Methodist Secondary School,S2757,Jayden Ho,Sec2-3,F,2024-06-12,Present,,0
Dunman High School,S2758,Adele Lim,Sec1-3,M,2022-08-05,Present,,0
Kent Ridge Secondary School,S2759,Aaron Tan,Sec2-2,M,2025-03-04,Present,,0
St. Andrew's Secondary School,S2760,Caleb Lim,Sec5-1,M,2025-01-09,Present,,0
Victoria School,S2761,Hannah Ong,Sec4-4,F,2025-02-06,Present,,0
Temasek Secondary School,S2762,Hannah Ong,Sec1-2,M,2025-05-17,Present,,0
Hougang Secondary School,S2763,Charlotte Ng,Sec2-3,M,2022-05-21,Late,,0
Anderson Secondary School,S2764,Daphne Lee,Sec3-4,M,2024-01-13,Present,,0
Holy Innocents' High School,S2765,Daphne Lee,Sec1-3,F,2025-06-25,Present,,0
Kent Ridge Secondary School,S2766,Adele Lim,Sec3-1,M,2022-02-22,Present,,0
Peicai Secondary School,S2767,Daniel Ong,Sec3-3,M,2025-01-07,Present,,0
Compassvale Secondary School,S2768,Aaron Tan,Sec1-1,F,2025-09-08,Present,,0
Kent Ridge Secondary School,S2769,Hannah Ong,Sec2-4,M,2022-03-25,Absent,Truancy,1
Maris Stella High School,S2770,Ethan Ng,Sec5-4,F,2024-04-08,Present,,0
Dunman High School,S2771,Bella Tan,Sec5-2,F,2022-03-05,Present,,0
Clementi Town Secondary School,S2772,Jayden Ho,Sec2-1,F,2025-03-26,Present,,0
Temasek Secondary School,S2773,Isabelle Ho,Sec5-3,F,2023-07-22,Present,,0
Clementi Town Secondary School,S2774,Ella Chua,Sec2-1,F,2024-08-04,Present,,0
CHIJ Katong Convent,S2775,Caleb Lim,Sec4-2,M,2022-04-24,Absent,Truancy,1
Springfield Secondary School,S2776,Charlotte Ng,Sec5-4,M,2024-07-23,Present,,0
CHIJ Katong Convent,S2777,Ethan Ng,Sec3-4,M,2025-06-09,Absent,Truancy,1
CHIJ Katong Convent,S2778,Jayden Ho,Sec3-2,F,2022-08-24,Absent,Truancy,1
St. Andrew's Secondary School,S2779,Caleb Lim,Sec2-3,M,2023-08-28,Present,,0
Singapore Chinese Girls' School,S2780,Daniel Ong,Sec3-4,M,2025-04-18,Absent,Truancy,1
St. Andrew's Secondary School,S2781,Ethan Ng,Sec2-2,F,2022-01-06,Late,,0
Holy Innocents' High School,S2782,Gabriel Chua,Sec3-3,F,2024-02-01,Absent,Truancy,1
Cedar Girls' Secondary School,S2783,Lucas Tan,Sec2-2,M,2023-08-23,Absent,Truancy,1
Hougang Secondary School,S2784,Ella Chua,Sec2-4,F,2023-05-01,Absent,Medical Leave,1
Clementi Town Secondary School,S2785,Grace Lim,Sec2-1,M,2024-12-14,Absent,MC,1
Presbyterian High School,S2786,Gabriel Chua,Sec5-2,F,2025-09-09,Present,,0
Dunman High School,S2787,Bella Tan,Sec1-3,F,2023-06-21,Present,,0
Nan Chiau High School,S2788,Bella Tan,Sec3-1,F,2024-05-24,Present,,0
St. Patrick's School,S2789,Jayden Ho,Sec4-2,F,2022-05-22,Present,,0
Springfield Secondary School,S2790,Isabelle Ho,Sec5-1,F,2025-01-27,Present,,0
Victoria School,S2791,Benjamin Lee,Sec4-4,M,2024-11-03,Present,,0
Nan Chiau High School,S2792,Daniel Ong,Sec5-3,F,2022-06-08,Present,,0
Clementi Town Secondary School,S2793,Charlotte Ng,Sec1-3,M,2022-09-09,Absent,Other,1
Anderson Secondary School,S2794,Gabriel Chua,Sec3-3,F,2022-03-26,Present,,0
Jurong Secondary School,S2795,Lucas Tan,Sec4-1,M,2024-03-29,Present,,0
Bedok Green Secondary School,S2796,Lucas Tan,Sec4-2,M,2025-07-24,Present,,0
Clementi Town Secondary School,S2797,Charlotte Ng,Sec5-4,M,2024-02-21,Absent,MC,1
Maris Stella High School,S2798,Ethan Ng,Sec1-4,F,2023-07-03,Absent,Truancy,1
Yishun Town Secondary School,S2799,Hannah Ong,Sec4-3,F,2023-10-28,Absent,Sick,1
Clementi Town Secondary School,S2800,Daniel Ong,Sec1-2,F,2024-10-16,Present,,0
Zhonghua Secondary School,S2801,Ella Chua,Sec3-2,M,2023-01-14,Present,,0
Fairfield Methodist Secondary School,S2802,Lucas Tan,Sec5-1,M,2024-12-24,Present,,0
Temasek Secondary School,S2803,Charlotte Ng,Sec4-1,F,2023-06-29,Late,,0
Hougang Secondary School,S2804,Grace Lim,Sec4-1,M,2023-07-18,Present,,0
Fairfield Methodist Secondary School,S2805,Adele Lim,Sec3-2,F,2025-04-02,Late,,0
Cedar Girls' Secondary School,S2806,Lucas Tan,Sec2-3,F,2024-12-18,Present,,0
Bukit Merah Secondary School,S2807,Lucas Tan,Sec3-1,F,2024-11-11,Absent,Truancy,1
Temasek Secondary School,S2808,Bella Tan,Sec4-3,M,2023-11-28,Present,,0
Yishun Town Secondary School,S2809,Isaac Koh,Sec5-4,M,2023-05-02,Present,,0
Gan Eng Seng School,S2810,Jasmine Tan,Sec5-3,F,2024-02-19,Late,,0
Clementi Town Secondary School,S2811,Hannah Ong,Sec2-2,M,2022-09-02,Present,,0
Regent Secondary School,S2812,Aaron Tan,Sec5-1,F,2022-09-01,Present,,0
Zhonghua Secondary School,S2813,Charlotte Ng,Sec5-2,F,2024-03-05,Absent,Other,1
Peicai Secondary School,S2814,Aaron Tan,Sec2-4,F,2023-03-28,Absent,Medical Leave,1
St. Andrew's Secondary School,S2815,Bella Tan,Sec4-4,F,2022-01-09,Present,,0
Yishun Town Secondary School,S2816,Aaron Tan,Sec2-3,M,2023-01-13,Present,,0
Clementi Town Secondary School,S2817,Aaron Tan,Sec2-4,M,2025-09-01,Present,,0
Jurong Secondary School,S2818,Bella Tan,Sec5-4,F,2025-09-21,Present,,0
St. Andrew's Secondary School,S2819,Adele Lim,Sec3-1,M,2024-06-18,Absent,Truancy,1
Zhonghua Secondary School,S2820,Caleb Lim,Sec2-3,M,2022-09-21,Present,,0
Maris Stella High School,S2821,Caleb Lim,Sec3-3,M,2022-12-22,Present,,0
Yishun Town Secondary School,S2822,Daphne Lee,Sec4-4,M,2024-02-28,Present,,0
Yishun Town Secondary School,S2823,Grace Lim,Sec1-4,F,2025-08-10,Present,,0
